ID,Russian,English,Turkish
letter_001,Вы прошли тест на любовь!,You have passed a love test!,Bir aşk testi geçtin!
letter_002,Достижение,Achievement,Kazanım
letter_003,"Мы рады, что вы прошли тест на любовь...",We are glad that you have passed the test for love ...,Sevgi için testten geçtiğiniz için mutluyuz ...
letter_004,Поздравляем!Вы с легкостью прошли тест на Любовь. Вам причетается награда,Congratulations! You easily passed the test for love. You will be born,Tebrikler! Sevgi için testi kolayca geçtin. Doğacaksın
letter_005,Вы прошли тест на дружбу!,You have passed a friendship test!,Bir arkadaşlık sınavını geçtiniz!
letter_006,Достижение,Achievement,Kazanım
letter_007,"Мы рады, что вы прошли тест на дружбу...",We are glad that you have passed a friendship test ...,Bir arkadaşlık testi geçtiğiniz için mutluyuz ...
letter_008,Поздравляем!Вы с легкостью прошли тест на дружбу. Вам причетается награда,Congratulations! You easily passed a friendship test. You will be born,Tebrikler! Kolayca bir arkadaşlık testini geçtiniz. Doğacaksın
letter_009,Вы прошли тест на ценности!,You have passed the test for values!,Testi değerler için geçtin!
letter_010,Достижение,Achievement,Kazanım
letter_011,"Мы рады, что вы прошли тест на ценности...",We are glad that you have passed a test for values ​​...,Değerler için bir test geçirdiğiniz için mutluyuz ...
letter_012,Поздравляем!Вы с легкостью прошли тест на ценности. Вам причетается награда,Congratulations! You easily passed the test test. You will be born,Tebrikler! Test testini kolayca geçtiniz. Doğacaksın
letter_013,Вы прошли тест на взаимно!,You have passed a test for mutually!,Karşılıklı bir testten geçtiniz!
letter_014,Достижение,Achievement,Kazanım
letter_015,"Мы рады, что вы прошли тест на взаимно...",We are glad that you have passed the test for mutual ...,Karşılıklı testi geçtiğiniz için mutluyuz ...
letter_016,Поздравляем!Вы с легкостью прошли тест на взаимно. Вам причетается награда,Congratulations! You easily passed the test for mutual. You will be born,Tebrikler! Testi karşılıklı için kolayca geçtiniz. Doğacaksın
letter_017,Вы прошли тест на доверие!,You have passed a test on trust!,Güven üzerine bir test geçtin!
letter_018,Достижение,Achievement,Kazanım
letter_019,"Мы рады, что вы прошли тест на доверие...",We are glad that you have passed the test on trust ...,Testi güven üzerine geçtiğiniz için mutluyuz ...
letter_020,Поздравляем!Вы с легкостью прошли тест на доверие. Вам причетается награда,Congratulations! You easily passed the trust quest. You will be born,Tebrikler! Güven arayışını kolayca geçtin. Doğacaksın
letter_021,Вы прошли тест на совместимость!,You have passed a compatibility test!,Bir uyumluluk testi geçtiniz!
letter_022,Достижение,Achievement,Kazanım
letter_023,"Мы рады, что вы прошли генератор совместимости...",We are glad that you have passed the compatibility generator ...,Uyumluluk jeneratörünü geçtiğinize sevindik ...
letter_024,Поздравляем!Вы с легкостью прошли тест на совместимость. Вам причетается награда,Congratulations! You easily passed the compatibility test. You will be born,Tebrikler! Uyumluluk testini kolayca geçtiniz. Doğacaksın
letter_025,Вы прошли тест на сканирование!,You passed the scan test!,Tarama testini geçtin!
letter_026,Достижение,Achievement,Kazanım
letter_027,"Мы рады, что вы прошли сканер притяжения...",We are glad that you have passed the attraction scanner ...,Cazibe tarayıcısını geçtiğiniz için mutluyuz ...
letter_028,Поздравляем!Вы с легкостью прошли тест на сканирование. Вам причетается награда,Congratulations! You easily passed the scan test. You will be born,Tebrikler! Tarama testini kolayca geçtiniz. Doğacaksın
letter_029,Вы прошли тест на а помнишь лето?,Have you passed the test on and remember the summer?,Testten geçtiniz ve yazın hatırladın mı?
letter_030,Достижение,Achievement,Kazanım
letter_031,"Мы рады, что вы прошли а помнишь лето?...",We are glad that you have passed and remember the summer? ...,Biz geçtiğiniz ve yazını hatırlamanız için mutluyuz? ...
letter_032,Поздравляем!Вы с легкостью прошли тест на а помнишь лето?. Вам причетается награда,Congratulations! You easily passed the test on and remember the summer?. You will be born,Tebrikler! Testte kolayca geçtiniz ve yazın hatırladın mı? Doğacaksın
letter_033,Открыт новый VIP режим!,Opened a new VIP mode!,Yeni bir VIP modu açtı!
letter_034,Системное,Systemic,Sistemik
letter_035,Вы открыли новый VIP режим...,You opened a new VIP mode ...,Yeni bir VIP modu açtınız ...
letter_036,Поздравляем!Вы открыли VIP режим тест совместимости. В этом режиме вы сможете определить проценты совместемости своего имени между именем заполненного вами. Желаем удачи! ,"Congratulations! You opened the VIP mode of compatibility test. In this mode, you can determine the interest of your name between the name of your completed. Good luck!","Tebrikler! VIP uyumluluk testi modunu açtınız. Bu modda, adınızın tamamını tamamladığınız adı arasında belirleyebilirsiniz. İyi şanlar!"
letter_037,Открыт новый VIP режим!,Opened a new VIP mode!,Yeni bir VIP modu açtı!
letter_038,Системное,Systemic,Sistemik
letter_039,Вы открыли новый VIP режим...,You opened a new VIP mode ...,Yeni bir VIP modu açtınız ...
letter_040,"Поздравляем!Вы открыли VIP режим сканер притяжения. В этом режиме вы сможете отсканировать ваши отпечтки пальцев, чтобы убедиться в схожести вашей энергетики. Желаем удачи! ",Congratulations! You opened the VIP mode of the attraction scanner. In this mode you can scan your finger scan to make sure your energy is similar. Good luck!,"Tebrikler! Cazibe tarayıcısının VIP modunu açtınız. Bu modda, enerjinizin benzer olduğundan emin olmak için parmak taramasını tarayabilirsiniz. İyi şanlar!"
letter_041,Открыт новый VIP режим!,Opened a new VIP mode!,Yeni bir VIP modu açtı!
letter_042,Системное,Systemic,Sistemik
letter_043,Вы открыли новый VIP режим...,You opened a new VIP mode ...,Yeni bir VIP modu açtınız ...
letter_044,"Поздравляем!Вы открыли VIP режим а помнишь лето?. В этом режиме вы сможете оставить ваши имена на дереве и с радостью вспоминать этот момент, где вы сможете скачать данное событие на ваше устройство! Желаем удачи! ","Congratulations! Did you open the VIP mode and remember the summer?. In this mode, you can leave your names on the tree and with joy to remember this moment, where you can download this event to your device! Good luck!","Tebrikler! VIP modunu açtınız mı ve yazın hatırladın mı? Bu modda, isimlerinizi ağaca bırakabilirsiniz ve bu anı hatırlamak için neşeyle, bu olayı cihazınıza indirebilirsiniz! İyi şanlar!"
letter_045,Вы только что совершили первую покупку!,You just made the first purchase!,Az önce ilk satın almayı yaptın!
letter_046,Благодарность,Gratitude,Şükran
letter_047,За то что вы совершили первую покупку...,For the fact that you made the first purchase ...,İlk satın alım yaptınız için ...
letter_048,"Дорогой игрок! В честь вашей первой покупки, мы открываем вам доступ ко всем VIP режимам. Хорошо вам провести время!","Dear player! In honor of your first purchase, we open you access to all VIP modes. Have a good time!","Sevgili oyuncu! İlk satın alımınızın onuruna, sizi tüm VIP modlarına erişimini açıyoruz. İyi vakit geçir!"
letter_049,Выполнен 5 дневный вход!,Fit 5 day input!,5 günlük giriş uygun!
letter_050,Достижение,Achievement,Kazanım
letter_051,Вам причетается награда за 5 дневный вход...,You will be born for 5 day entrance ...,5 gün giriş için doğacaksınız ...
letter_052,Спасибо за выполнение ежедневного бонуса 5 дневного входа в игру! Вам причетается награда,Thank you for performing a daily bonus 5 day entrance to the game! You will be born,Oyuna günlük bonus 5 gün giriş yaptığınız için teşekkür ederiz! Doğacaksın
letter_053,Вам доступны VIP режимы!,VIP modes are available to you!,VIP modları sizin için kullanılabilir!
letter_054,Системное,Systemic,Sistemik
letter_055,Уважаемый игрок! Вы все еще не испробовали VIP режим...,Dear player! You still have not tried the VIP mode ...,Sevgili oyuncu! Hala VIP modunu denemediniz ...
letter_056,"Уважаемый игрок! Вы все еще не испробовали VIP режим. Проходите тесты, чтобы заработать сердечки, и скорей открывайте VIP режимы, вы будете удивлены!","Dear player! You still have not tried the VIP mode. Pass the tests to earn hearts, and soon open the VIP modes, you will be surprised!","Sevgili oyuncu! Hala VIP modunu denemediniz. Kalpleri kazanmak için testleri geçin ve yakında VIP modlarını açın, şaşıracaksınız!"
letter_057,Вы прошли все тесты!,You passed all the tests!,Tüm testleri geçtin!
letter_058,Достижение,Achievement,Kazanım
letter_059,Поздравляем!Вы прошли все тесты на Любовь...,Congratulations! You have passed all the tests for love ...,Tebrikler! Aşk için tüm testleri geçtin ...
letter_060,"Поздравляем!Вы прошли все тесты на Любовь,если вам не составит труда, просим вас оценить игру. Иконка ""Оценить игру"" находиться в главном меню.Вам причетается награда","Congratulations! You have passed all the tests for love, if you do not work, ask you to evaluate the game. Icon ""Rate the game"" is located in the main menu. I will bother the reward","Tebrikler! Aşk için tüm testleri geçtin, eğer işe yaramazsanız, oyunu değerlendirmenizi isteyin. Simge ""Oyunu Oy"" ana menüde bulunur. Ödülünü rahatsız edeceğim"
letter_061,Сердечный магнат,Cardiac magnate,Kardiyak büyütme
letter_062,Достижение,Achievement,Kazanım
letter_063,Ваш банк достиг в отметку 500 сердец...,Your bank has reached 500 hearts ...,Bankanız 500 kalbe ulaştı ...
letter_064,"Поздравляем! Вы хорошо разбираетесь в приобретении валюты) За данное достижение вам полагается личный бонус, котрый вы можете потратить на 1 из VIP режимов. Приятной игры)","Congratulations! You are well versed in the purchase of currency) for this achievement you have a personal bonus, which you can spend on 1 of the VIP modes. Have a good game)",Tebrikler! Bu başarı için para alımında çok iyi bir şekilde verilirsiniz) VIP modlarının 1'sinde geçirebileceğiniz kişisel bir bonusunuz var. İyi oyunlar)
letter_065,Пропуск ежедневного бонуса,Skip daily bonus,Günlük Bonusu Atla
letter_066,Системное,Systemic,Sistemik
letter_067,Вы пропустили один из ежедневных бонусов...,You missed one of the daily bonuses ...,Günlük bonuslardan birini kaçırdın ...
letter_068,Вы пропустили один из ежедневных бонусов не войдя в игру. Заберите награду повторно за первый день входа,You missed one of the daily bonuses without entering the game. Take the reward again for the first day of entrance,Oyuna girmeden günlük bonuslardan birini kaçırdınız. Girişin ilk günü için tekrar ödül alın
