ID,Russian,English,Turkish,Massa
с5_001,Дружба,friendship,dostluk,
с5_002,Вы когда ни будь говорили о чувствах  друг другу?,Have you ever talked about feelings to each other?,Birbirimize duygulardan hiç konuştun mu?,
с5_003,"Конечно, мы же друзья","Of course, we are friends","Tabii ki, biz arkadaşız",5
с5_004,Нет,Not,Değil,1
с5_005,"Я только представляла, как он признается мне в чувствах",I just imagined how he confesses to me in feelings,Sadece bana duyguları nasıl itiraf ettiğini hayal ettim.,3
с5_006,"Когда он рядом, как ты себя ведёшь?","When he is near, how do you behave?","Ne zaman yanında, nasıl davranıyorsun?",
с5_007,Смущаюсь и теряюсь,Embarrassed and rubbed,Utanmış ve ovuşturdu,1
с5_008,Держу дистанцию,I hold distance,Uzakta tutuyorum,3
с5_009,Естественно,Naturally,Doğal olarak,5
с5_010,"Если на твоих глазах его будут критиковать, ты заступишься?","If you will be criticized on your eyes, will you stand up?","Eğer gözlerinde eleştirileceksen, ayağa kalkacak mısın?",
с5_011,Нет,Not,Değil,1
с5_012,"Нет, но буду очень переживать за него","No, but I will be very worried about him","Hayır, ama onun için çok endişeleneceğim",3
с5_013,"Конечно, и в драку полезу, если надо будет!","Of course, and I will climb into the fight if it should be!",Tabii ki ve olmalıysa kavgaya tırmanacağım!,5
с5_014,"Чтобы быть счастливым, достаточно любить того, кто любит тебя ?","To be happy, love to love someone who loves you?","Mutlu olmak, seni seven birini sevmeyi seviyorum?",
с5_015,Да,Yes,Evet,5
с5_016,Затрудняюсь ответить,Difficult to answer,Cevaplanması zor,3
с5_017,Нет,Not,Değil,1
с5_018,Он известная личность среди своих одногруппников / коллег и т.д.?,"He is a famous personality among his classmates / colleagues, etc.?",Onun sınıf arkadaşları / meslektaşları vb. Arasında ünlü bir kişiliktir.,
с5_019,Мне все равно на это,I don't care about it,Umrumda değil,1
с5_020,"Да, он самый лучший",Yes he is the best,Evet o en iyisi,5
с5_021,Не интересовалась,Not interested,İlgilenmiyorum,3
с5_022,Что тебе в нем нравится?,What do you like in it?,İçinde ne seversin?,
с5_023,Его человеческие качества,His human quality,Onun insan kalitesi,3
с5_024,"Все! Какой он человек , как он ест , как он говорит, как о смотрит",Everything! What a man is how he eats like he says as he looks,"Her şey! Bir erkek, göründüğü gibi söylüyor gibi ne yiyor?",5
с5_025,Не думала об этом,Did not think about it,Düşünmedim,1
с5_026,Ты бы доверила ему свои секреты?,Would you entrusted him your secrets?,Ona sırlarını emanet ettiniz mi?,
с5_027,Нет,Not,Değil,1
с5_028,Мы так и делаем,We do and do,Yapıyoruz ve yapıyoruz,5
с5_029,Боюсь он не поймёт меня,I'm afraid he will not understand me,Korkarım beni anlamayacak,3
с5_030,"У него день рождения, как ты его поздравишь?","He has a birthday, how will you congratulate him?","Bir doğum günü var, onu nasıl tebrik edeceksin?",
с5_031,"Устроишь ужин, сделаешь подарок своими руками и подаришь ему дорогую вещь , о которой он давно мечтал","Arrange dinner, make a gift with your own hands and give him an expensive thing that he has long dreamed of","Akşam yemeği düzenleyin, kendi ellerinizle bir hediye edin ve uzun süredir hayal ettiği pahalı bir şey verin",5
с5_032,Я не пойду к нему на день рождения,I will not go to him for my birthday,Doğum günüm için ona gitmeyeceğim,1
с5_033,"Куплю ему настольную игру , которую он хотел",I will buy him a board game that he wanted,Ona istediği bir masa oyunu alacağım,3
с5_034,"Кажется ли тебе, что он идеален во всем?",Do you think that he is ideal in everything?,Her şeyde ideal olduğunu düşünüyor musun?,
с5_035,"Думаю, я вообще плохо его знаю",I think I really know him,Sanırım onu ​​gerçekten tanıyım,1
с5_036,Да,Yes,Evet,3
с5_037,"Он классный, но не думаю, что во всем","He is cool, but I don't think in everything","O harika, ama her şeyde sanmıyorum",5
с5_038,"У него появилась хорошая девушка, твои действия:","He had a good girl, your actions:","İyi bir kızı vardı, eylemleriniz:",
с5_039,"Если он правда классная, то порадуюсь за него","If he really is cool, then I am rejected for him","Eğer gerçekten havalı ise, o zaman onun için reddedildim.",5
с5_041,Буду безумно ревновать,I will be insanely jealous,Delice kıskanç olacağım,1
с5_042,Мне все равно на это,I don't care about it,Umrumda değil,3
с5_043,Мечтаешь ли ты выйти за него замуж?,Do you dream of marrying?,Evlenmeyi hayal ediyor musun?,
с5_044,Да,Yes,Evet,5
с5_045,Конечно нет!,Of course not!,Tabii ki değil!,1
с5_046,"Нет, он мне как брат!","No, he is like a brother!","Hayır, o bir erkek kardeş gibi!",3
с5_047,Он хорошо относится к тебе?,Does he relate well to you?,Size iyi ilişkili mi?,
с5_048,Конечно,Certainly,Kesinlikle,5
с5_049,Затрудняюсь ответить,Difficult to answer,Cevaplanması zor,3
с5_050,Он ко мне равнодушен ,He is indifferent to me,O bana kayıtsız,1
с5_051,Он флиртует с другими девушками?,Does he flirt with other girls?,Diğer kızlarla flört ediyor mu?,
с5_052,"Наверное, не обращала внимание",Probably did not pay attention,Muhtemelen dikkat etmedi,3
с5_053,А мне какое дело?,What is the case?,Dava nedir?,1
с5_054,"Да, постоянно! Даже на кассе он с такой нежностью говорит продавщице «спасибо»","Yes, constantly! Even at the checkout, he tells the saleswoman ""Thank you"" with such tenderness.","Evet, sürekli! Ödeme sırasında bile, bu tür bir hassasiyetle ""teşekkür ederim"" pazarını söyler.",5
с5_055,Знакома ли с его друзьями?,Do you know his friends?,Arkadaşlarını tanıyor musun?,
с5_056,Пыталась познакомиться,Tried to meet themselves,Kendilerini karşılamaya çalıştı,3
с5_057,Его друзья - мои друзья,His friends are my friends,Arkadaşları arkadaşlarım,5
с5_058,Возможно,Maybe,Belki,1
с5_059,Он всегда прав?,He is always right?,O her zaman doğru mu?,
с5_060,Нет,Not,Değil,3
с5_061,Да,Yes,Evet,1
с5_062,Пфффф...нет,Pffff ... NO,PFFFF ... hayır,5
с5_063,Ты следишь за его жизнь в социальных сетях?,Do you follow his life in social networks?,Sosyal ağlarda hayatını takip ediyor musunuz?,
с5_064,"Если фотографию выставит, то лайк поставлю","If you'll put a photo, then I will put like","Fotoğraf koyacaksan, o zaman gibiyim",5
с5_065,Не очень интересно,Not very interesting,Çok ilginç değil,1
с5_066,"Знаю всех, кто его лайкает и почему!",I know everyone who is lying him and why!,Onu yalan söyleyen herkesi tanıyorum ve neden!,3
с5_067,Ты пытаешься выставить себя перед ним в лучшем свете?,Are you trying to put yourself in front of him in the best light?,Kendini en iyi ışığında önüne koymaya mı çalışıyorsun?,
с5_068,Из кожи вон лезу!,From the leather is climb!,Deriden tırmanıyor!,3
с5_069,"Не больше, чем со всеми",No more than with all,Hepsinden daha fazla değil,1
с5_070,"Он меня знает, как облупленную",He knows me like the irradiated,Beni ışınlanan gibi biliyor,5
с5_071,Он тебе снится?,Do you dream of you?,Seni hayal ediyor musun?,
с5_072,"Если только, как мы полетели на марс и вырастили там жирафиков","Unless, as we flew to Mars and raised giraffes there",Mars'a uçtuğumda ve orada zürafaları yükselttikçe,5
с5_073,Иногда,Sometimes,Ara sıra,1
с5_074,Вроде нет,It seems not,Görünüyor gibi görünüyor,3
с5_075,"Ты слушаешь песни, которые слушает он?",Do you listen to songs that he listens?,Listeyi dinlediği şarkıları mı dinliyorsun?,
с5_076,Нет,Not,Değil,1
с5_077,Если это что -то стоящее,If this is something worthwhile,Bu değerli bir şeyse,5
с5_078,"Да, и текст читаю песни, вдруг там что-то обо мне!","Yes, and text I read songs, suddenly there is something about me!","Evet ve metin şarkıları okudum, aniden benim hakkımda bir şey var!",3
с5_079,"Если он случайно до тебя дотрагивается, то ты:","If he accidentally touches you, then you:","Eğer kazayla size dokunursa, o zaman:",
с5_080,Я вся милею),I'm all a cute),Ben hepim şirinim),3
с5_081,"Эй, парень, ты чего?","Hey, boyfriend, what are you?","Hey, erkek arkadaşın, sen ne?",1
с5_082,"Привычные чувства, но приятные)",Usual feelings but pleasant),Olağan duygular ama hoş),5
с5_083,"Ты отказываешь себе в чем -то, чтобы сделать ему приятное?",Do you refuse yourself what is it to make him a pleasant?,"Kendini reddediyor musun, onu keyifli hale getirmek için ne?",
с5_084,По ситуации,Depends on a situation,Bir duruma bağlı,3
с5_085,Обычно да,Usually yes,Genellikle evet,1
с5_086,Нет,Not,Değil,5
с5_087,"Если тебе не нравится футбол, но он будет на матче, то ты пойдёшь?","If you do not like football, but it will be on the match, then you will go?","Futboldan hoşlanmazsan, ama maçta olacak, o zaman gideceksin?",
с5_088,Если просто за компанию,If just for the company,Sadece şirket için,5
с5_089,Ради него нет,No for him,Onun için hayır,1
с5_090,"Да, и буду болеть за его любимую команду и выучу имена игроков","Yes, and I will root for his favorite team and learn the names of the players","Evet, ve benim favori ekibine gidip oyuncuların isimlerini öğreneceğim",3
с5_091,Говорила ли ты ему о чувствах?,Did you tell him about feelings?,Ona duygulardan bahsettin mi?,
