ID,Russian,English,Turkish
core_001,"Каждый из партнеров, приложите пальцы к однуму из сканеров. Это позволит нам выявить вашу совместимость на уровне генетики!","Each of the partners, attach fingers to one of the scanners. This will allow us to identify your compatibility at the level of genetics!","Ortakların her biri, parmakları tarayıcılardan birine takın. Bu, genetik seviyesindeki uyumluluğunuzu tanımlamamıza izin verecektir!"
core_002,"Чтобы начать сканирование, нажмите на кнопку, которая запустит сканеры!","To start scanning, click on the button that will start the scanners!","Taramayı başlatmak için, tarayıcıları başlatacak düğmeye tıklayın!"
core_003,"Отлично! Теперь держите до тех пор, пока сканеры не соберут данные! ",Fine! Now keep until the scanners are collected!,İyi! Şimdi tarayıcılar toplanana kadar devam edin!
core_004,"Произошел сбой! Вероятнее всего кото-то убрал палец со сканера! Но ничего страшного, вы можете попробовать еще раз!","There has been a breakdown! Most likely, I could remove the finger from the scanner! But nothing terrible, you can try again!","Bir arıza oldu! Büyük olasılıkla, parmağını tarayıcıdan kaldırabilirim! Ama korkunç bir şey yok, tekrar deneyebilirsiniz!"
core_005,"Очен хорошо! Сканеры успешно собрали данные. Вы можете убрать пальцы со сканеров. Сейчас некоторое время будет происходить анализ данных, для выявления вашей совместимости!","Very good! Scanners successfully collected data. You can remove your fingers from scanners. For some time, data analysis will occur, to identify your compatibility!","Çok iyi! Tarayıcılar başarıyla veri topladı. Parmaklarınızı tarayıcılardan çıkarabilirsiniz. Bir süredir, uyumluluğunuzu belirlemek için veri analizi gerçekleşecek!"
core_006,,#VALUE!,#VALUE!
core_007,,#VALUE!,#VALUE!
core_008,,#VALUE!,#VALUE!
core_009,,#VALUE!,#VALUE!
core_010,,#VALUE!,#VALUE!
core_011,,#VALUE!,#VALUE!
core_012,,#VALUE!,#VALUE!
core_013,,#VALUE!,#VALUE!
core_014,,#VALUE!,#VALUE!
core_015,,#VALUE!,#VALUE!
core_016,,#VALUE!,#VALUE!
core_017,,#VALUE!,#VALUE!
core_018,,#VALUE!,#VALUE!
core_019,,#VALUE!,#VALUE!
core_020,,#VALUE!,#VALUE!
core_021,,#VALUE!,#VALUE!
core_022,,#VALUE!,#VALUE!
core_023,,#VALUE!,#VALUE!
core_024,,#VALUE!,#VALUE!
core_025,,#VALUE!,#VALUE!
core_026,,#VALUE!,#VALUE!
core_027,,#VALUE!,#VALUE!
core_028,,#VALUE!,#VALUE!
core_029,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
